"","Date","Channel","Length","Cost","Impressions","Sales"
"466",2017-07-08 16:55:00,"4",15,2704,36400,30
"467",2017-07-08 17:09:00,"3",15,2332,36400,0
"468",2017-07-08 17:21:00,"1",15,676,36400,0
"469",2017-07-08 17:31:00,"3",15,1555,18200,18
"470",2017-07-08 17:52:00,"13",15,2636,72800,36
"471",2017-07-08 17:55:00,"3",15,1555,18200,3
"472",2017-07-08 18:06:00,"1",15,676,36400,21
"473",2017-07-08 18:08:00,"11",15,5036,91000,89
"474",2017-07-08 18:08:00,"10",15,879,36400,15
"475",2017-07-08 18:20:00,"4",15,6084,109200,3
"476",2017-07-08 18:24:00,"13",15,7909,91000,45
"477",2017-07-08 18:32:00,"10",15,2636,54600,23
"478",2017-07-08 18:41:00,"11",15,1453,54600,24
"479",2017-07-08 18:41:00,"3",15,2332,54600,39
"480",2017-07-08 18:48:00,"4",15,4056,91000,47
"481",2017-07-08 18:51:00,"13",15,6152,127400,50
